idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
111,3.0,6,10,50,30,40,3.0,110,22.69,11.06,1.65,0.4364,1.52
112,3.0,6,10,50,30,55,3.0,124,43.31,9.35,2.3,0.4516,1.76
113,3.0,6,15,30,20,40,3.0,99,15.26,8.1,1.65,0.4343,1.64
114,3.0,6,15,30,20,55,3.0,123,8.68,6.85,1.03,0.3984,1.31
115,3.0,6,15,30,30,40,3.0,97,12.44,8.1,1.42,0.433,1.53
116,3.0,6,15,30,30,55,3.0,104,20.77,5.72,1.94,0.4615,1.79
117,3.0,6,15,50,20,40,3.0,99,26.05,13.19,1.65,0.4343,1.65
118,3.0,6,15,50,20,55,3.0,123,14.23,11.16,1.03,0.3984,1.3
119,3.0,6,15,50,30,40,3.0,97,20.98,13.19,1.42,0.433,1.54
120,3.0,6,15,50,30,55,3.0,104,36.09,9.35,1.94,0.4615,1.79
121,3.0,8,5,30,20,40,3.0,135,7.43,6.93,1.24,0.4667,1.27
122,3.0,8,5,30,20,55,3.0,185,13.05,8.3,1.53,0.4432,1.3
123,3.0,8,5,30,30,40,3.0,133,7.52,6.93,1.26,0.4662,1.27
124,3.0,8,5,30,30,55,3.0,160,11.66,6.78,1.46,0.4562,1.3
125,3.0,8,5,50,20,40,3.0,135,12.33,11.33,1.24,0.4667,1.26
126,3.0,8,5,50,20,55,3.0,185,21.99,13.47,1.53,0.4432,1.3
127,3.0,8,5,50,30,40,3.0,133,12.49,11.33,1.26,0.4662,1.27
128,3.0,8,5,50,30,55,3.0,160,19.58,11.05,1.46,0.4562,1.3
129,3.0,8,10,30,20,40,3.0,101,14.87,6.78,1.64,0.4257,1.56
130,3.0,8,10,30,20,55,3.0,127,22.04,6.89,1.88,0.3701,1.57
131,3.0,8,10,30,30,40,3.0,100,14.44,6.78,1.61,0.43,1.55
132,3.0,8,10,30,30,55,3.0,113,26.62,5.72,2.25,0.3982,1.79
133,3.0,8,10,50,20,40,3.0,101,25.36,11.04,1.64,0.4257,1.56
134,3.0,8,10,50,20,55,3.0,127,38.28,11.23,1.88,0.3701,1.57
135,3.0,8,10,50,30,40,3.0,100,24.57,11.04,1.61,0.43,1.55
136,3.0,8,10,50,30,55,3.0,113,47.11,9.35,2.25,0.3982,1.79
137,3.0,8,15,30,20,40,3.0,97,14.24,7.39,1.4,0.4021,1.52
138,3.0,8,15,30,20,55,3.0,0,0,0,0,0,0
139,3.0,8,15,30,30,40,3.0,0,0,0,0,0,0
140,3.0,8,15,30,30,55,3.0,96,19.59,5.72,1.7,0.3958,1.68
141,3.0,8,15,50,20,40,3.0,97,24.04,12.1,1.4,0.4021,1.51
142,3.0,8,15,50,20,55,3.0,104,12.63,11.85,0.86,0.3654,1.27
143,3.0,8,15,50,30,40,3.0,95,24.33,12.1,1.41,0.4105,1.52
144,3.0,8,15,50,30,55,3.0,96,33.74,9.35,1.7,0.3958,1.67
145,4.0,4,5,30,20,40,3.0,136,8.76,8.18,1.21,0.5588,1.29
146,4.0,4,5,30,20,55,3.0,181,-4.32,11.74,-0.11,0.4696,0.97
147,4.0,4,5,30,30,40,3.0,134,9.18,8.18,1.25,0.5672,1.3
148,4.0,4,5,30,30,55,3.0,158,0.36,8.64,0.32,0.481,1.06
149,4.0,4,5,50,20,40,3.0,136,14.52,13.29,1.21,0.5588,1.28
150,4.0,4,5,50,20,55,3.0,181,-7.64,19.11,-0.11,0.4696,0.96
151,4.0,4,5,50,30,40,3.0,134,15.25,13.29,1.25,0.5672,1.29
152,4.0,4,5,50,30,55,3.0,158,0.04,14.17,0.32,0.481,1.05
153,4.0,4,10,30,20,40,3.0,129,8.44,7.19,1.09,0.5349,1.28
154,4.0,4,10,30,20,55,3.0,165,-13.01,19.11,-1.08,0.4485,0.78
