idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
167,4.0,4,15,50,30,40,3.0,142,-16.6,20.0,-0.91,0.4225,0.8
168,4.0,4,15,50,30,55,3.0,156,-6.11,15.3,-0.08,0.4679,0.97
169,4.0,6,5,30,20,40,3.0,136,-17.88,19.97,-2.16,0.3897,0.66
170,4.0,6,5,30,20,55,3.0,157,3.01,9.95,0.57,0.5096,1.1
171,4.0,6,5,30,30,40,3.0,137,-15.7,17.85,-1.82,0.4015,0.7
172,4.0,6,5,30,30,55,3.0,154,-3.19,9.72,-0.05,0.4675,0.98
173,4.0,6,5,50,20,40,3.0,136,-28.25,31.25,-2.16,0.3897,0.65
174,4.0,6,5,50,20,55,3.0,157,4.46,16.22,0.57,0.5096,1.09
175,4.0,6,5,50,30,40,3.0,137,-25.05,28.19,-1.82,0.4015,0.7
176,4.0,6,5,50,30,55,3.0,154,-5.75,15.85,-0.05,0.4675,0.98
177,4.0,6,10,30,20,40,3.0,117,-6.07,10.92,-0.42,0.3846,0.9
178,4.0,6,10,30,20,55,3.0,133,14.22,7.5,1.43,0.5038,1.37
179,4.0,6,10,30,30,40,3.0,117,-6.07,10.92,-0.42,0.3846,0.9
180,4.0,6,10,30,30,55,3.0,131,7.64,7.54,0.92,0.4427,1.22
181,4.0,6,10,50,20,40,3.0,117,-10.36,17.91,-0.42,0.3846,0.89
182,4.0,6,10,50,20,55,3.0,133,23.96,12.31,1.43,0.5038,1.36
183,4.0,6,10,50,30,40,3.0,117,-10.36,17.91,-0.42,0.3846,0.89
184,4.0,6,10,50,30,55,3.0,131,12.36,12.31,0.92,0.4427,1.21
185,4.0,6,15,30,20,40,3.0,0,0,0,0,0,0
186,4.0,6,15,30,20,55,3.0,123,7.3,9.52,0.93,0.5122,1.23
187,4.0,6,15,30,30,40,3.0,113,-3.95,9.22,-0.19,0.3894,0.94
188,4.0,6,15,30,30,55,3.0,122,0.59,9.82,0.29,0.418,1.06
189,4.0,6,15,50,20,40,3.0,114,-8.65,15.18,-0.3,0.386,0.91
190,4.0,6,15,50,20,55,3.0,123,11.85,15.31,0.93,0.5122,1.22
191,4.0,6,15,50,30,40,3.0,113,-6.98,14.96,-0.19,0.3894,0.93
192,4.0,6,15,50,30,55,3.0,122,0.46,15.78,0.29,0.418,1.05
193,4.0,8,5,30,20,40,3.0,130,-18.89,20.84,-2.34,0.3846,0.63
194,4.0,8,5,30,20,55,3.0,156,4.53,9.99,0.71,0.5128,1.13
195,4.0,8,5,30,30,40,3.0,131,-16.74,18.75,-2.0,0.3969,0.68
196,4.0,8,5,30,30,55,3.0,146,1.86,9.63,0.46,0.4863,1.08
197,4.0,8,5,50,20,40,3.0,130,-29.71,32.5,-2.34,0.3846,0.63
